start_date,end_date,brand,audience,FINAL-unaided_brand_awareness_score,FINAL-aided_brand_awareness_score,FINAL-brand_consideration,FINAL-overall_brand_consideration
"Apr 16, 2020","Apr 16, 2020",Mobile Premier League (MPL),overall,5.0,5.0,2.5,4.5
"Apr 16, 2020","Apr 16, 2020",Adda52,overall,1.7,1.7,2.5,1.9
"Apr 16, 2020","Apr 16, 2020",Dream 11,overall,1.7,1.7,2.5,1.9
"Apr 16, 2020","Apr 16, 2020",Rummy Circle,overall,1.7,1.7,2.5,1.9
"Apr 15, 2020","Apr 15, 2020",Mobile Premier League (MPL),overall,6.2,4.2,5.0,5.4
"Apr 15, 2020","Apr 15, 2020",Adda52,overall,1.2,1.7,3.0,1.7
"Apr 15, 2020","Apr 15, 2020",Dream 11,overall,1.2,2.5,1.0,1.6
"Apr 15, 2020","Apr 15, 2020",Rummy Circle,overall,1.2,1.7,1.0,1.3
"May 15, 2020","May 15, 2020",Mobile Premier League (MPL),overall,1.7,2.0,2.0,1.9
"May 15, 2020","May 15, 2020",Adda52,overall,1.7,2.0,4.0,2.2
"May 15, 2020","May 15, 2020",Dream 11,overall,5.0,4.0,2.0,4.1
"May 15, 2020","May 15, 2020",Rummy Circle,overall,1.7,2.0,2.0,1.9
